Title,Authors,Description,Category,Publish Date (Year)
Mosby's Fundamentals of Therapeutic Massage,"By Fritz, Sandy","The Second Edition of Mosby's FUNDAMENTALS OF THERAPEUTIC MASSAGE, now in four-color, covers all of the fundamentals of therapeutic massage and teaches the reader how to skillfully apply massage techniques. It provides information on sanitation, hygiene, body mechanics, business practices, ethics, massage equipment and supplies, draping procedures, various massage environments, wellness and much more.  A new, interactive format integrates workbook sections at the end of each chapter.* Covers all the fundamentals of therapeutic massage, including specific massage techniques, equipment and supplies, wellness, working with special populations, business considerations, and much more. * Includes over 500 high quality illustrations and photos, most of them in full color, which enhances the topics presented and helps reader with technical application. * Includes many case studies to bring topics to life for the reader and apply topics to everyday practice. * Contains several helpful appendices, including Contraindications to Massage, Skin Pathology, Common Medications and Possible Implications for Massage, Resource List, and Suggestions for Self-Massage. * Contains a comprehensive glossary at the end of the book, which provides the reader with definitions for terms that may be unfamiliar to them. * Features an available instructor's manual with transparency masters, chapter outlines, test questions, and much more. * Contains key terms, chapter objectives and chapter outlines in each chapter. * Written by a massage therapist, who is also an instructor, to bring readers the most relevant and up-to-date information and techniques."," Medical , Allied Health Services , Physical Therapy",1999
My Lives: A Memoir (P.S.),"By White, Edmund","No one has been more frank, lucid, and entertaining about growing up gay in Middle America than Edmund White. Best known for his autobiographical novels, starting with A Boy's Own Story, White here takes fiction out of his story and delivers the facts of his life in all their shocking and absorbing verity. In My Lives, White shares his enthusiasms and his passions, and he introduces us to his lovers and predilections."," Social Science , LGBT Studies , Gay Studies",2007
Barn Dance! (Reading Rainbow),"By Rand, Ted (ILT), Martin, Bill, and Archambault, John","In an old farmhouse, bathed in the light of a full moon, a young boy creeps to his bedroom window and looks outside. Was that a voice he just heard, or the hooting of an owl? There it is again:Come a little closer...Come a little closer...Listen to the night...There's music in the air...Beckoned by the voice, the boy sneaks downstairs, out the door, and walks toward the barn. As he gets closer he hears the sweet sound of a country fiddler and the rhythmic thumping of dancing feet. But who could possibly be having a barn dance in the middle of the night?"," Juvenile Fiction , Performing Arts , General",1988
Parker's Wine Bargains: The World's Best Wine Values Under $25,"By Parker, Robert M., Jr.","Yes, you can buy world-class wine on a budget. With Parker's Wine Bargains, America's most influential wine critic offers a guide to the world's best wines priced at $25 or less.    Robert M. Parker, Jr., earned his international reputation and unprecedented influence as a dedicated consumer advocate -- if a wine isn't worth the money, he says so, regardless of the wine's pedigree. In Parker's Wine Bargains, for the first time he and his Wine Advocate team offer budget-minded wine buyers a handy guide to low-priced wines for both everyday drinking and special occasions.   Organized by country, the book lists more than 1,500 quality wine producers, as well as abbreviated tasting notes for more than 3,000 of the best value wines. The book includes significant contributions from Wine Advocate reviewers David Schildknecht, Antonio Galloni, Dr. Jay Miller, Mark Squires, and Neal Martin. Chapters include an overview of each country's wine-producing regions, highlight up-and-coming or underappreciated regions, and detail when wines can be consumed. Also featuring a vintage guide and lists such as ""the best of the best,"" Parker's Wine Bargains is an accessible guide from the expert the New York Times deems ""the critic who matters most."""," Cooking , Beverages , Alcoholic , Wine",2009
Saving Grace,"By Spencer, Katherine","When fifteen-year-old Grace Stanley's brother is killed in a car accident, she does what any typical girl would do--she loses it. She blames herself, denounces God, and gives up on school, her friends, and her churchgoing family. Then along comes a ""saintly"" and nerdy new girl, Philomena, who literally saves Grace's life and helps her find her way back to herself."," Young Adult Fiction , Religious , Christian , General",2007
Fantastic Book of Logic Puzzles,"By Mandell, Muriel and Chanowitz, Elise (ILT)","Magicians, ogres, dragons, genies and wizards show how to do the most popular logic puzzle types: elimination, crossing the river, measurement, probability, more.    128 pages, b/w illus. throughout, 5 3/8 x 8 1/4."," Games , Puzzles",1986
Yoga: The Iyengar Way: The New Definitive Illustrated Guide,"By Mehta, Mira, Mehta, Silva, and Mehta, Shyam","A comprehensive, practical, and authoritative guide to the method developed by Iyengar. 100 key postures with detailed step-by-step instructions and photographs. This is our most recently published yoga book and has quickly become a backlist bestseller."," Health & Fitness , Yoga",1990
101 Ways to Be a Special Mom,"By Lansky, Vicki and White, Kaye Pomeranc (ILT)","Let your child choose a favorite meal for dinner and have it by candlelight Select and tend a bird feeder together, and then spend time discussing or drawing the visitors it attracts Create a treasure hunt with real buried treasure in the yard or garden Take a trip to a U-pick-it farm to gather your own strawberries, raspberries, corn, beans, or other fruits or vegetables.    Vicki Lansky's bestselling books include 101 Ways to Make Your Child Feel Special, 101 Ways to Tell Your Child ""I Love You,"" 101 Ways to Be a Special Dad, and the Practical Parenting Series, which together have sold more than three million copies."," Family & Relationships , Parenting , Motherhood",1995
"Unexplained: An Encyclopedia of Curious Phenomena, Strange Superstitions, and Ancient Mysteries","By Allen, Judy","Unexplained is a comprehensive and compelling one-stop guide to weird nature, the paranormal, and strange superstitions. Even with today's high-tech science, many events and ancient mysteries remain unexplained and surrounded by theories that stir the imagination and challenge scientific fact. This book systematically explores all aspects of the human fascination with the unknowable, from hauntings and the power of the mind to physical mysteries such as lost civilizations, ancient superstitions and symbols, and the persistent ideas about life from other planets. Evocative illustrations and intriguing photographs, combined with spine-tingling text by an award-winning author, shed light on the world's greatest mysteries."," Juvenile Nonfiction , Curiosities & Wonders",2006
Shakespeare: A Book of Quotations (Dover Thrift Editions),"By Shakespeare, William","Shakespeare is without doubt the most quoted writer in English. His plays and poems comprise an inexhaustible source of memorable and often profound thoughts beautifully and concisely expressed. This remarkably affordable volume presents over 400 quotations conveniently arranged by topic: love, marriage, conduct and morality, truth, beauty, time, death, music, and more.Included are such timeless observations as: ""All that glitters is not gold,"" ""Brevity is the soul of wit,"" ""How sharper than a serpent's tooth it is/ To have a thankless child""; ""While you live, tell truth and shame the devil!""; ""The very substance of the ambitious is merely the shadow of a dream,"" and many more. Romantic thoughts receive a particularly rich treatment; extensive selections on the subject of love include quotes from the plays (""The course of true love never did run smooth""; ""Speak low if you speak love"") and sonnets (""For thy sweet love remember'd such wealth brings,/ That then I scorn to change my state with kings""). Each quote bears a complete citation.Ideal for writers, speakers, students of literature, and any lover of Shakespeare's works, this inexpensive treasury lends itself admirably to a virtually endless number of uses, from casual browsing to designing personal greeting cards."," Drama , Shakespeare",1998
"Ship of Ghosts: The Story of the USS Houston, FDR's Legendary Lost Cruiser, and the Epic Saga of Her Survivors","By Hornfischer, James D.","NEW YORK TIMES BESTSELLER""Son, we’re going to Hell."" The navigator of the USS Houston confided these prophetic  words to a young officer as he and his captain charted a course into U.S. naval legend.  Renowned as FDR’s favorite warship, the cruiser USS Houston was a prize target trapped  in the far Pacific after Pearl Harbor. Without hope of reinforcement, her crew faced  a superior Japanese force ruthlessly committed to total conquest. It wasn’t a fair  fight, but the men of the Houston would wage it to the death. Hornfischer brings  to life the awesome terror of nighttime naval battles that turned decks into strobe-lit  slaughterhouses, the deadly rain of fire from Japanese bombers, and the almost superhuman  effort of the crew as they miraculously escaped disaster again and again–until their  luck ran out during a daring action in Sunda Strait. There, hopelessly outnumbered,  the Houston was finally sunk and its survivors taken prisoner. For more than three  years their fate would be a mystery to families waiting at home. In the brutal privation  of jungle POW camps dubiously immortalized in such films as The Bridge on the River  Kwai, the war continued for the men of the Houston—a life-and-death struggle to survive  forced labor, starvation, disease, and psychological torture. Here is the gritty,  unvarnished story of the infamous Burma–Thailand Death Railway glamorized by Hollywood,  but which in reality mercilessly reduced men to little more than animals, who fought  back against their dehumanization with dignity, ingenuity, sabotage, will–power—and  the undying faith that their country would prevail. Using journals and letters,  rare historical documents, including testimony from postwar Japanese war crimes tribunals,  and the eyewitness accounts of Houston’s survivors, James Hornfischer has crafted  an account of human valor so riveting and awe-inspiring, it’s easy to forget that  every single word is true."," History , Military , Naval",2007
"The Vest Book: Create and Customize Your Own Vests Using Embroidery, Fabric Painting, Beadwork, Applique, and a Host of Other Techniques","By Farrell, Jacqueline","Provides step-by-step instructions to embellish plain vests using a variety of materials, such as velvet, silk, linen, ribbon roses, paints, and beads"," Crafts & Hobbies , Fashion",1995
They Only Look Dead: Why Progressives Will Dominate the Next Political Era,"By Dionne, E. J.","Stating that incompetence on behalf of the Democrats, rather than public opinion, is behind the current surge in Republican dominance, the author of Why Americans Hate Politics identifies the areas of downfall. 40,000 first printing. Tour."," Political Science , Public Policy , Economic Policy",1996
The Gastronomy of Marriage: A Memoir of Food and Love,"By Maisto, Michelle","“On our first date, Rich ordered a chocolate soufflé at the beginning of the meal, noting an asterisk on the menu warning diners of the wait involved. At the time, I imagined he did it partly to impress me, which it did, though today I know well that he’s simply the type of man who knows better than to turn down a hot-from-the-oven soufflé when one is offered to him.”When Michelle Maisto meets Rich–like her, a closet writer with a fierce love of books and good food–their single-mindedness at the table draws them together, and meals become a stage for their long courtship. Finally engaged, they move in together, but sitting down to shared meals each night–while working at careers, trying to write, and falling into the routines that come to define a home–soon feels like something far different from their first dinner together.Who cooks, who shops, who does the dishes? Rich craves the light fare his mother learned to prepare as a girl in China, but Michelle leans toward the hearty dishes her father knew as a boy in Italy. Rich eats meat, but Michelle doesn’t. His metabolism races through carbohydrates, hers holds to them tightly. And while her idea of a quick meal is a fried egg, his is to head to a restaurant. After Rich takes additional work to pay for their wedding, Michelle offers to do his half of the cooking chores–which, along with the newness of their living together, challenges her feelings about the kitchen and what it means to be a modern wife.As they save and plan for a wedding, the nightly compromises, small generosities, and stubborn stakings of ground that take place around the dinner table offer a context in which Maisto considers what she’s learned from the marriages around her, and what she and Rich might create for themselves."," Cooking , Essays & Narratives",2009
Within Our Reach,"By Schorr, Lisbeth B.","In this solidly researched book, the authors demonstrate that the knowledge and techniques exist to decrease the incidence of welfare dependency, poor single-parent families and alienated, uneducated youth. In addition to providing a detailed account of the problem, they describe twenty-four programs that have proved successful in changing the lives of seriously disadvantaged children."," Social Science , Statistics",1988
"Clementine (Clementine, 1)","By Pennypacker, Sara and Frazee, Marla (ILT)","Clementine is having not so good of a week.On Monday she's sent to the principal's office for cutting off Margaret's hair. Tuesday, Margaret's mother is mad at her. Wednesday, she's sent to the principal?again. Thursday, Margaret stops speaking to her. Friday starts with yucky eggs and gets worse. And by Saturday, even her mother is mad at her. Okay, fine. Clementine is having a DISASTROUS week."," Juvenile Fiction , Social Themes , Adolescence & Coming of Age",2008
Happy Family: A Novel,"By Lee, Wendy","When Hua Wu arrives in New York City, her life seems destined to resemble that of countless immigrants before her. She spends her hectic days in a restaurant in Chinatown, and her lonesome nights in a noisy, crowded tenement, yearning for those she left behind. But one day in a park in the West Village, Hua meets Jane Templeton and her daughter, Lily, a two-year-old adopted from China. Eager to expose Lily to the language and culture of her birth country, Jane hires Hua to be her nanny.Hua soon finds herself in a world far removed from the cramped streets of Chinatown or her grandmother’s home in Fuzhou, China. Jane, a museum curator of Asian art, and her husband, a theater critic, are cultured and successful. They pull Hua into their circle of family and friends until she is deeply attached to Lily and their way of life. But when cracks show in the family’s perfect façade, what will Hua do to protect the little girl who reminds her so much of her own past? A beautiful and revelatory novel, Happy Family is the promising debut of a perceptive and graceful writer."," Fiction , Family Life",2008
Ortho's All About Herbs (Ortho's All About Gardening),"By Oster, Maggie and Ortho (EDT)","One of the few herb books to cover the gamut of readers’ interest in herbs—from growing them to using them for cooking, skin care, fragrance and health.Complete instructions for harvesting and preserving 76 herbs, along with recipes for using them.Teachers readers how to design an herb garden, as well as incorporate herbs into the landscape.Growing instructions for each herb.Tempting recipes for herbal cordials, jellies, cheeses, and other foods.Complete instructions for making skin cleansers, poultices, shampoos, potpourris, scented candles, and more.Comprehensive encyclopedia categorizes 76 herbs as to their best use."," Gardening , Herbs",1999
Spider's Nest (Watch It Grow),"By Scarborough, Kate and Maschietti, Gabriele (ILT)",Follows the step-by-step process of a female trapdoor spider building its nest. Features step-cut pages to emphasize the way things get bigger as they grow.," Juvenile Fiction , Animals , Insects, Spiders, etc.",1997
Exploring Moscow & St. Petersburg (1995),"By Cure, Karen (EDT)","· A lively, graphic, full-color guidebook to Moscow & St. Petersburg.· Color photography and archival and other illustrations throughout; zingy captions.· Intelligent, opinionated writing by Christopher and Melanie Rice.· Solid travel reportage on every region punctuated by lively sidebars on local color, personalities, culture, and history--all packed with fascinating trivia.· What to see and do, plus recommended tours.· Special rating system identifying not-to-be-missed sights.· To-the-point reviews of dining and lodging.· Key planning information.· Over 20 detailed maps and plans.· Comprehensive destination/topic index."," Travel , Russia",1995
"Lonely Planet Mexico, 7th Edition","By Noble, John, Keller, Nancy, Lyon, James, Schechter, Daniel C., Doggett, Scott, and Matter, Michele","Describes Mexico's climate, geography, and history, looks at the tourist attractions in each region, and offers tips on transportation, hotels, restaurants, and shopping."," Travel , Mexico",2000
"Heart Of The Dragon (Atlantis, Book 1)","By Showalter, Gena","Searching for her missing brother, Grace Carlyle never dreamed she would discover a secret world populated by mythological monsters&#151;or find herself facing a sword-wielding being whose looks put mortal men to shame.But there he was, Darius en Kragin, one of a race of shape-shifting warriors bound to guard the gates of Atlantis, and kill all travelers who strayed within its borders.Now Grace's life was in his hands, and Darius had to choose between his centuries-old vow and the woman who had slipped beneath his defenses and stolen the heart of Atlantis's fiercest dragon."," Fiction , Romance , Paranormal , General",2008
The Rural Life,"By Klinkenborg, Verlyn","The author of Making Hay and The Last First Time celebrates the rural life, its pleasures and hardships, and the beauty of the American landscape in a series of reflections corresponding to the months of the year. Reprint. 30,000 first printing."," Nature , Essays",2004
Scrabble Word Building Book,"By Ahmed, Saleem","For SCRABBLE® and other word-game players, the winner's handbook is here! Become a master of the game with this essential guide for top-scoring play. You'll discover:   The 94 all-important two-letter words -- in one handy list  A special section of over 800 three-letter words, 550 of which can be formed from two-letter words  All eight-letter words that can be formed from seven-letter words  Every word up to seven letters you can play!   Keep this invaluable SCRABBLE® reference at your fingertips to make maximum use of high scoring letters, settle disputes, and increase your word-building power!"," Games , Crosswords , Dictionaries",1991
The Boy Who Saved Baseball,"By Ritter, John H.","Tom Gallagher finds himself in a tight spot. The fate of Dillontown rests on the outcome of one baseball game, winner take all. And it's all because Tom had to open his big mouth. If only he could get Dante Del Gato-the greatest hitter to ever play the game-to coach the team. But crazy ol' Del Gato hasn't spoken to folks in years, not after walking away from the game in disgrace just before his team played in its first World Series. Maybe Tom has one more hope: Cruz de la Cruz, the mysterious boy who just rode into town on horseback claiming to know the secret of hitting. Not to mention the secrets of Del Gato . . ."," Juvenile Fiction , Sports & Recreation , Baseball & Softball",2003
Letters from the Front,"By Millidge, Judith","The struggles and perils of battle pervade these letters, as do the hopes, fears, everyday concerns, and raw emotions of the warriors who wrote them. Presented in this handsomely illustrated volume are authentic glimpses into history during more than two centuries of warfare. Both famous historical figures and ordinary soldiers are represented.  Readers will find a battlefield letter from Napoleon to his beloved Josephine, written in 1796, before he reached his height of fame and power. By contrast, Edgar Clark was an ordinary soldier in the Union Army during the Civil War, but his letter to his family after engaging in a fierce battle gives as vivid a description of war as any to be found in official history books. Letters from the front in World War I include one from future president Harry Truman to his wife Bess, and another from the English poet Wilfred Owen to his mother. Each of this book's chapters focuses on a specific era, including the American Revolution, the Napoleonic Wars, the Texas Revolution, the Mexican War, the American Civil War, the Spanish-American War, World War I, World War II, and various conflicts of the late twentieth century. This memorable collection is enhanced with full-color illustrations, historic photos, maps, and photocopies of several dramatic letters."," History , Military , General",2002
Nothing Was the Same,"By Jamison, Kay Redfield","From the internationally acclaimed author of An Unquiet Mind, an exquisite, haunting meditation on mortality, grief, and loss.Perhaps no one but Kay Redfield Jamison—who combines the acute perceptions of a psychologist with a writerly elegance and passion—could bring such a delicate touch to the subject of losing a spouse to cancer. In direct, straightforward, and at times strikingly lyrical prose, Jamison looks back at her relationship with her husband, Richard Wyatt, a renowned scientist who battled debilitating dyslexia to become one of the foremost experts on schizophrenia. And with her characteristic honesty, candor, wit, and simplicity, she describes his death, her own long, difficult struggle with grief, and her efforts to distinguish grief from depression.But she also recalls the great joy that Richard brought her during the nearly twenty years they had together. Wryly humorous anecdotes mingle with bittersweet memories of a relationship that was passionate and loving—if troubled on occasion by her manic-depressive (bipolar) illness—as Jamison reveals the ways in which her husband encouraged her to write openly about her mental illness and, through his courage and grace taught her to live fully.A penetrating psychological study of grief viewed from deep inside the experience itself, Nothing Was the Same is also a deeply moving memoir by a superb writer."," Family & Relationships , Death, Grief, Bereavement",2009
Quick Team-Building Activities for Busy Managers: 50 Exercises That Get Results in Just 15 Minutes,"By Miller, Brian Cole","Every team needs a regular dose of team spirit to function at its best. That's why managers turn to these easy and effective activities for building camaraderie and cohesion. Now in its second edition,Quick Team-Building Activities for Busy Managers addresses the problems that drag down group productivity and helps teams:Collaborate successfullyCope with change Solve problemsCommunicate betterBoost creativityLeverage diversityNurture healthy competitionAnd moreEach of the 50 exercises takes just minutes to prep, and most call for everyday items like pens or paper clips. No elaborate training sessions or prepared presentations required. Simply scan the instructions explaining how to run the session, what problems might crop up, and which questions to ask to drive the lessons home. The results are immediate: sullen teams find sparkle, nervous teams gain confidence, teams of strangers get to know one another.New and updated activities get everyone, including virtual teams, working together with purpose and a little bit of fun—fifteen minutes of the workday very well spent!"," Business & Economics , Office Management",2003
God Is a Salesman: Learn from the Master,"By Stevens, Mark","Laced with anecdotes based on the experiences of the author and the many others he has known, loved, mentored, coached, and partnered with, GOD IS A SALESMAN shows us how to translate powerful lessons from God into tools to help us achieve extraordinary success through better relationships, and new dimensions in life."," Business & Economics , Customer Relations",2008
A World in Our Hands: Young People of the World,By Young People Of The World Staff,An official United Nations fiftieth anniversary book written and illustrated entirely by children from around the world explores the mission of the United Nations and the role that young people can play in making the world a better place," Young Adult Fiction , General",1995
My Friend Bear (Eddy & the Bear),"By Alborough, Jez","This third warm and funny pairing of little Eddie and the bear finds them feeling sad with no friends to talk to except their teddies, who are suddenly able to talk back."," Juvenile Fiction , Toys, Dolls & Puppets",1998
The Everything Barbecue Book over 100 recipes for grilling just about anything,"By Jenkins, Jennifer and Irvin, Dale","Covering barbecue cooking from A-to-Z, this vital resource to a classic summer activity covers tools, fuels, wood, charcoal, techniques, meat selection, and cooking on the grill. Original. $250,000 ad/promo."," Cooking , Methods , Barbecue & Grilling",2000
Holiday Cocktails,"By Strand, Jessica and Frankel, Laurie (PHT)","Hardly bigger than most fruitcakes and much more fun, Holiday Cocktails is a complete guide to getting the mix right. This bartending bible features classics such as the cozy Hot Buttered Rum and the classy Kir Royale, as well as smart and sexy libations like the elegant Christmas Morning Mimosa and the virgin Gingersnap Punch. Holiday Cocktails is the place to turn for advice no matter what's on the holiday social calendar, whether it's a New Year's blow-out, a bustling dinner party, or an intimate night for two. In addition to scores of clever ideas and party-planning tips, author and veteran holiday hostess Jessica Strand includes her take on festive garnishes, glassware, and must-have ingredients for the most wonderful time of year. Decorated with sparkling photographs, this is both a fine addition to the home bar and a pretty present for the entertainer on Santa's list."," Cooking , Beverages , Alcoholic , General",2003
The Duggars: 20 and Counting!: Raising One of America's Largest Families--How they Do It,"By Duggar, Michelle and Duggar, Jim Bob","This practical, positive book reveals the many parenting strategies that Jim Bob and Michelle Duggar use as they preside over America’s best-known mega-family.Each time a new baby arrives, the press from around the world clamors for interviews and information. Visitors are amazed to find seventeen (baby number eighteen is due January 1, 2009) well-groomed, well-behaved, well-schooled children in a home that focuses on family, financial responsibility, fun—and must importantly, faith.  Readers will learn about the Duggars’ marriage—how they communicate effectively, make family decisions, and find quality time alone. They’ll discover how the Duggars manage to educate all their children at home, while providing experiences that go beyond the family walls, through vacations and educational trips. And they’ll see how the Duggar family manages their finances and lives debt-free—even when they built their own 7,000-square-foot house.  Answering the oft asked question—How can I do with one or two children what you do with seventeen(soon to be eighteen)?—Jim Bob and Michelle reveal how they create a warm and welcoming home filled with what Michelle calls “serene chaos.” They show how other parents can succeed whether they’re rearing a single child or several. With spiritual insights, experience-based wisdom, practical tips, and plenty of humorous and tender anecdotes, the Duggars answer the questions that pour into the family’s Web site on a daily basis—especially after every national media interview and TV appearance—including their segments on the Discovery Health Channel’s “Meet the Duggars” series."," Religion , Christian Living , Family & Relationships",2008
New Horse Handbook: How to Make Your Horse Feel at Home,"By Bowker, Nancy","Packed with photographs, this valuable reference is a must-have for anyone considering buying or rehousing a horse. Get ready for your horse's arrival by considering the animal's emotional needs. Be sure you have the appropriate equipment and supplies, and familiarize yourself with ailments common to horses that have been recently transported. Prepare for ""first-day handling"" so you'll know exactly what to do when the trailer finally pulls up. Understand horse social structure so you can introduce your new horse to others you already own. Help your horse deal with the stress of relocating, and be sure to build good relationships with horse-care professionals. Tips are included for traveling to a show and selecting a new home for your horse. A bibliography and resource lists direct you to further information. A Selection of the Equestrian Edge Book Club."," Sports & Recreation , Equestrian",2003
"The New Year's Eve Compendium: Toasts, Tips, Trivia and Tidbits for Bringing in the New Year","By Lyon, Todd","From selecting a distinctive champagne without breaking the bank, to preparing outstanding hors d'oeuvres, to kicking off a party with pinache, a New Year's Eve handbook includes predictions for the year 2000 and historical trivia. 20,000 first printing."," Cooking , Holiday",1998
