text,intent
Makasih bot! Sampai jumpa lagi di chat berikutnya!,goodbye
Trims! Udah cukup hari ini! Bye-bye!,goodbye
Terima kasih dan sampai jumpa lagi!,goodbye
"Makasih, gua pamit dulu ya!",goodbye
"Udah cukup ngobrolnya, makasih banyak!",goodbye
"Thanks bro, gua off dulu!",goodbye
"Oke, gua cabut. Makasih bot!",goodbye
Terima kasih! Gue pergi dulu!,goodbye
Thank you! Sampai jumpa lain kali!,goodbye
"Makasih bot, udah nemenin! Gue logout dulu!",goodbye
"Udah puas nanya, makasih! Gua out!",goodbye
"Udahan ya, makasih banyak!",goodbye
Thank you so much! Gue pamit dulu!,goodbye
"Oke bot, gua berangkat dulu. Makasih ya!",goodbye
"Thanks ya, gua gas duluan!",goodbye
"Udah cukup, bye bye! Makasih ya!",goodbye
Makasih ya bot! Gue keluar dulu!,goodbye
Gass off! Makasih banyak bot!,goodbye
"Mantul! Mksh, cabs dulu ya!",goodbye
"Makasih bot, gua tidur dulu!",goodbye
"Udah cukup, thanks ya! Sampai besok!",goodbye
"Thanks bot, gua balik ke dunia nyata dulu!",goodbye
Makasih banyak! Gua logout dulu ya!,goodbye
"Udah puas ngobrol, thanks ya! Bye!",goodbye
Makasih bot! Sampai jumpa di lain kesempatan!,goodbye
Thanks bot! Gue cabut!,goodbye
"Makasih ya, gua gaskeun pergi!",goodbye
"Oke, cukup sekian. Thank you bot!",goodbye
Terima kasih banyak! Gua pamit dulu ya!,goodbye
"Udah ngerti, mksh bot! Bye bye!",goodbye
"Thanks bro, gua off!",goodbye
"Otw off, thanks ya!",goodbye
"Udahan, trims banyak!",goodbye
"Oke gua undur diri, makasih ya!",goodbye
"Udah cukup belajar, makasih bot!",goodbye
"Udah cukup, trims banyak!",goodbye
"Makasih banyak, gua pamit ya!",goodbye
"Thanks ya, cabut dulu!",goodbye
"Oke, paham. Makasih!",goodbye
"Udah kelar mikir, thanks ya!",goodbye
Thanks bot! Gue gas tidur dulu!,goodbye
Makasih! Gue stop di sini!,goodbye
"Udah selesai, thank you bot!",goodbye
"Makasih, pamit dulu ya!",goodbye
"Oke bot, gua tinggal dulu. Makasih ya!",goodbye
"Gua cabs dulu ya, makasih!",goodbye
"Oke, sampai ketemu lagi! Thanks!",goodbye
"Udah cukup buat hari ini, makasih!",goodbye
Trims bot! Sampai jumpa lagi!,goodbye
Udahan dulu ya! Makasih banyak!,goodbye
aku pergi,goodbye
